Date,1m,3m,6m,1y,2y,3y,5y,7y,10y,20y,30y
2024-09-12,-0.03000000000000025,-0.040000000000000036,-0.040000000000000036,-0.03000000000000025,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.029999999999999805,0.03000000000000025,0.040000000000000036,0.040000000000000036
2024-09-11,0.03000000000000025,0.040000000000000036,0.0699999999999994,0.04999999999999982,0.03000000000000025,0.03000000000000025,0.020000000000000018,0.010000000000000231,0.0,-0.009999999999999787,-0.010000000000000231
2024-09-10,-0.07000000000000028,-0.05000000000000071,-0.02999999999999936,-0.04999999999999982,-0.0900000000000003,-0.1200000000000001,-0.06000000000000005,-0.050000000000000266,-0.050000000000000266,-0.040000000000000036,-0.029999999999999805
2024-09-09,-0.03000000000000025,-0.019999999999999574,-0.010000000000000675,0.020000000000000462,0.020000000000000018,0.0,-0.009999999999999787,-0.020000000000000018,-0.020000000000000018,-0.019999999999999574,-0.03000000000000025
2024-09-06,-0.019999999999999574,-0.020000000000000462,-0.040000000000000036,-0.11000000000000032,-0.08999999999999986,-0.06999999999999984,-0.040000000000000036,-0.029999999999999805,-0.009999999999999787,-0.010000000000000675,0.010000000000000675
2024-09-05,-0.03000000000000025,-0.02999999999999936,-0.009999999999999787,-0.020000000000000462,-0.009999999999999787,-0.020000000000000018,-0.020000000000000018,-0.020000000000000018,-0.040000000000000036,-0.02999999999999936,-0.040000000000000036
2024-09-04,-0.04999999999999982,-0.010000000000000675,-0.05999999999999961,-0.11999999999999922,-0.1200000000000001,-0.10000000000000009,-0.08999999999999986,-0.08000000000000007,-0.06999999999999984,-0.07000000000000028,-0.07000000000000028
2024-09-03,-0.03000000000000025,-0.019999999999999574,-0.08999999999999986,-0.03000000000000025,-0.03000000000000025,-0.06000000000000005,-0.06000000000000005,-0.06999999999999984,-0.07000000000000028,-0.07000000000000028,-0.07000000000000028
2024-08-30,0.009999999999999787,-0.009999999999999787,0.0,0.0,0.040000000000000036,0.03000000000000025,0.04999999999999982,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.04999999999999982
2024-08-29,-0.0699999999999994,0.009999999999999787,0.019999999999999574,0.019999999999999574,0.040000000000000036,0.03999999999999959,0.03000000000000025,0.019999999999999574,0.03000000000000025,0.020000000000000462,0.020000000000000462
2024-08-28,-0.020000000000000462,-0.020000000000000462,-0.019999999999999574,0.020000000000000462,0.0,0.0,-0.03000000000000025,0.010000000000000231,0.009999999999999787,0.009999999999999787,0.0
2024-08-27,0.0,-0.009999999999999787,-0.020000000000000462,-0.040000000000000036,-0.08000000000000007,-0.020000000000000018,0.0,0.009999999999999787,0.010000000000000231,0.019999999999999574,0.019999999999999574
2024-08-26,-0.019999999999999574,-0.009999999999999787,-0.009999999999999787,0.019999999999999574,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.009999999999999787,0.010000000000000675,0.010000000000000675
2024-08-23,0.0,-0.03000000000000025,-0.040000000000000036,-0.0699999999999994,-0.0900000000000003,-0.08999999999999986,-0.07000000000000028,-0.06000000000000005,-0.04999999999999982,-0.03000000000000025,-0.03000000000000025
2024-08-22,0.05999999999999961,0.020000000000000462,0.040000000000000036,0.0699999999999994,0.07000000000000028,0.07999999999999963,0.08000000000000007,0.08000000000000007,0.06999999999999984,0.05999999999999961,0.07000000000000028
2024-08-21,-0.03000000000000025,-0.03000000000000025,-0.04999999999999982,-0.0699999999999994,-0.07000000000000028,-0.05999999999999961,-0.06000000000000005,-0.040000000000000036,-0.029999999999999805,-0.040000000000000036,-0.010000000000000675
2024-08-20,-0.02999999999999936,-0.019999999999999574,-0.03000000000000025,-0.05000000000000071,-0.0699999999999994,-0.06000000000000005,-0.04999999999999982,-0.04999999999999982,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036
2024-08-19,-0.020000000000000462,-0.020000000000000462,-0.019999999999999574,-0.009999999999999787,0.0,-0.010000000000000231,-0.020000000000000018,-0.03000000000000025,-0.03000000000000025,-0.02999999999999936,-0.040000000000000036
2024-08-16,0.0,-0.009999999999999787,-0.020000000000000462,-0.02999999999999936,-0.020000000000000462,-0.029999999999999805,-0.020000000000000018,-0.020000000000000018,-0.029999999999999805,-0.020000000000000462,-0.02999999999999936
2024-08-15,0.040000000000000036,0.019999999999999574,0.040000000000000036,0.09999999999999964,0.14000000000000012,0.14000000000000012,0.1200000000000001,0.10999999999999988,0.08999999999999986,0.0600000000000005,0.05999999999999961
2024-08-14,0.009999999999999787,0.0,0.03000000000000025,0.019999999999999574,0.009999999999999787,0.009999999999999787,-0.010000000000000231,-0.020000000000000018,-0.020000000000000018,-0.03000000000000025,-0.040000000000000036
2024-08-13,-0.04999999999999982,-0.009999999999999787,-0.04999999999999982,-0.0699999999999994,-0.07999999999999963,-0.06999999999999984,-0.06999999999999984,-0.05999999999999961,-0.04999999999999982,-0.04999999999999982,-0.03000000000000025
2024-08-12,-0.009999999999999787,0.0,0.0,-0.03000000000000025,-0.040000000000000036,-0.040000000000000036,-0.04999999999999982,-0.050000000000000266,-0.040000000000000036,-0.03000000000000025,-0.040000000000000036
2024-08-09,-0.009999999999999787,-0.009999999999999787,0.009999999999999787,0.019999999999999574,0.009999999999999787,0.0,-0.03000000000000025,-0.040000000000000036,-0.050000000000000266,-0.04999999999999982,-0.04999999999999982
2024-08-08,0.04999999999999982,0.0,0.019999999999999574,0.03000000000000025,0.040000000000000036,0.04999999999999982,0.040000000000000036,0.040000000000000036,0.03000000000000025,0.03000000000000025,0.020000000000000462
